datetime,col1,col2,col3
12/12/12,1,1,1
2025-03-23 20:55:43.472613,1,10,20
2025-03-23 20:55:44.284283,1,10,20
2025-03-23 20:55:44.934961,1,10,20
2025-03-23 21:09:37.861789,1,10,20
2025-03-23 21:09:38.707579,1,10,20
2025-03-23 21:09:40.712357,1,10,20
2025-03-23 21:09:41.595745,1,10,20
2025-03-23 21:10:34.447557,1,10,20
2025-03-23 21:10:34.667117,1,10,20
2025-03-23 21:10:34.823362,1,10,20
2025-03-23 21:10:34.972737,1,10,20
2025-03-23 21:10:35.173169,1,10,20
2025-03-23 21:10:35.377303,1,10,20
2025-03-23 21:10:35.780499,1,10,20
2025-03-23 21:10:36.009603,1,10,20
2025-03-23 21:10:36.263752,1,10,20
2025-03-23 21:10:36.555023,1,10,20
2025-03-23 21:10:37.048157,1,10,20
2025-03-23 21:10:37.447455,1,10,20
2025-03-23 21:10:37.805587,1,10,20
2025-03-23 21:10:38.094765,1,10,20
2025-03-23 21:10:44.433991,1,10,20
2025-03-23 21:10:45.249260,1,10,20
2025-03-23 21:10:45.464791,1,10,20
2025-03-23 21:29:20.467517,1,10,20
2025-03-26 19:02:41.625185,1,10,20
